atp1 atp2 c12                    c12_45                 old_rc12               source
CS   CH   2.897745766558051e-06  0.0                    2.598523946232985e-06  #atdhisto_c12
CS   CH1  1.2884910181278791e-05 0.0                    1.3051797320401952e-05 #atdhisto_c12
CS   CH1t 8.855373008130008e-06  0.0                    1.3051797320401952e-05 #atdhisto_c12
CS   CAH  1.3869290966783295e-05 3.7172653432882377e-05 1.3051797320401952e-05 #atdhisto_c12
CS   CH2  5.556363657234973e-06  0.0                    6.333854714763538e-06  #atdhisto_c12
CS   CAH2 3.7144078137182355e-06 3.7172653432882377e-05 6.333854714763538e-06  #atdhisto_c12
CS   CH3  3.7144078137182355e-06 0.0                    4.726053914163474e-06  #atdhisto_c12
CS   CH2r 4.737322988859966e-06  2.6644993987597274e-06 5.570010782641626e-06  #atdhisto_c12
CS   S    2.6605634662742835e-06 0.0                    2.6605634662742835e-06 #rc12
CS   SM   3.7144078137182355e-06 0.0                    2.6605634662742835e-06 #atdhisto_c12
CS   SH   2.897745766558051e-06  0.0                    2.6605634662742835e-06 #atdhisto_c12
CS   H    4.543781405690857e-08  3.578500073173326e-08  4.8757952426321354e-08 #atdhisto_c12
CZ   CZ   1.8933619871479337e-06 0.0                    2.598523946232985e-06  #atdhisto_c12
CZ   CH   1.7356754565546296e-06 0.0                    2.598523946232985e-06  #atdhisto_c12
CZ   CH1  1.110557678004124e-05  0.0                    1.3051797320401952e-05 #atdhisto_c12
CZ   CH1t 1.2884910181278791e-05 0.0                    1.3051797320401952e-05 #atdhisto_c12
CZ   CAH  1.0303119972742315e-05 5.187980929466614e-05  1.3051797320401952e-05 #atdhisto_c12
CZ   CH2  4.737322988859966e-06  2.448580108078591e-06  6.333854714763538e-06  #atdhisto_c12
CZ   CAH2 3.7144078137182355e-06 0.0                    6.333854714763538e-06  #atdhisto_c12
CZ   CH3  2.448580108078591e-06  0.0                    4.726053914163474e-06  #atdhisto_c12
CZ   CH2r 3.421320847663108e-06  0.0                    5.570010782641626e-06  #atdhisto_c12
CZ   S    2.6605634662742835e-06 0.0                    2.6605634662742835e-06 #rc12
CZ   SM   2.248809725327641e-06  0.0                    2.6605634662742835e-06 #atdhisto_c12
CZ   SH   2.064082678151929e-06  0.0                    2.6605634662742835e-06 #atdhisto_c12
CZ   H    4.543781405690857e-08  0.0                    4.8757952426321354e-08 #atdhisto_c12
CH   CH   2.248809725327641e-06  3.244654392818015e-05  2.598523946232985e-06  #atdhisto_c12
CH   CH1  8.855373008130008e-06  0.0                    1.3051797320401952e-05 #atdhisto_c12
CH   CH1t 6.012808612204707e-06  0.0                    1.3051797320401952e-05 #atdhisto_c12
CH   CAH  7.596342311330096e-06  1.9908604884064596e-05 1.3051797320401952e-05 #atdhisto_c12
CH   CH2  3.149574184402289e-06  1.6047872836151582e-05 6.333854714763538e-06  #atdhisto_c12
CH   CAH2 2.248809725327641e-06  0.0                    6.333854714763538e-06  #atdhisto_c12
CH   CH3  2.897745766558051e-06  0.0                    4.726053914163474e-06  #atdhisto_c12
CH   CH2r 2.897745766558051e-06  0.0                    5.570010782641626e-06  #atdhisto_c12
CH   S    2.6605634662742835e-06 0.0                    2.6605634662742835e-06 #rc12
CH   SM   3.149574184402289e-06  0.0                    2.6605634662742835e-06 #atdhisto_c12
CH   SH   2.248809725327641e-06  0.0                    2.6605634662742835e-06 #atdhisto_c12
CH   H    8.091373121174105e-08  1.0115434594394737e-07 4.8757952426321354e-08 #atdhisto_c12
CH1  CH1  6.309156472163408e-05  0.0002285006226144959  6.555622223139519e-05  #atdhisto_c12
CH1  CH1t 4.8569470248707706e-05 0.00020331351930370572 6.555622223139519e-05  #atdhisto_c12
CH1  CAH  5.187980929466614e-05  3.473598766179243e-05  6.555622223139519e-05  #atdhisto_c12
CH1  CH2  2.6382245451254078e-05 0.0001806952059302513  3.181351786802196e-05  #atdhisto_c12
CH1  CAH2 2.1373642831810142e-05 3.473598766179243e-05  3.181351786802196e-05  #atdhisto_c12
